Year,Month,Day,Hour,Rainfall,WaterLevel,FWaterLevel
2008,1,1,9,0.0,1.45,1.81
2008,1,1,10,0.0,1.63,1.68
2008,1,1,11,0.0,1.83,1.57
2008,1,1,12,0.0,1.93,1.47
2008,1,1,13,0.0,1.95,0.0
2008,1,1,14,1.0,0.0,1.34
2008,1,1,15,0.0,1.81,1.34
2008,1,1,16,0.0,1.68,1.35
2008,1,1,17,0.0,1.57,1.44
2008,1,1,18,0.0,1.47,0.0
2008,1,1,19,0.0,0.0,1.66
2008,1,1,20,0.0,1.34,1.62
2008,1,1,21,0.0,1.34,1.57
2008,1,1,22,0.0,1.35,1.52
2008,1,1,23,0.0,1.44,1.44
2008,1,1,0,0.0,0.0,1.37
2008,1,1,1,0.0,1.66,1.3
2008,1,1,2,0.0,1.62,1.34
2008,1,1,3,1.0,1.57,1.31
2008,1,1,4,0.0,1.52,1.4
2008,1,1,5,0.0,1.44,1.52
2008,1,1,6,0.0,1.37,1.75
2008,1,1,7,0.0,1.3,0.0
2008,1,1,8,0.0,1.34,1.87
2008,1,2,9,0.0,1.31,1.81
2008,1,2,10,0.0,1.4,1.71
2008,1,2,11,0.0,1.52,1.61
2008,1,2,12,0.0,1.75,1.47
2008,1,2,13,0.0,0.0,1.31
2008,1,2,14,0.0,1.87,1.14
2008,1,2,15,0.0,1.81,1.06
2008,1,2,16,0.0,1.71,1.05
2008,1,2,17,0.0,1.61,1.05
2008,1,2,18,0.0,1.47,1.54
2008,1,2,19,0.0,1.31,1.58
2008,1,2,20,0.0,1.14,1.62
2008,1,2,21,0.0,1.06,1.62
2008,1,2,22,0.0,1.05,1.62
2008,1,2,23,0.0,1.05,1.53
2008,1,2,0,0.0,1.54,1.41
2008,1,2,1,0.0,1.58,1.29
2008,1,2,2,0.0,1.62,0.0
2008,1,2,3,0.0,1.62,1.09
2008,1,2,4,0.0,1.62,0.0
2008,1,2,5,0.0,1.53,1.21
2008,1,2,6,0.0,1.41,0.0
2008,1,2,7,0.0,1.29,0.0
2008,1,2,8,0.0,0.0,0.0
2008,1,3,9,0.0,1.09,0.0
2008,1,3,10,0.0,0.0,1.73
2008,1,3,11,0.0,1.21,0.0
2008,1,3,12,0.0,0.0,1.46
2008,1,3,13,0.0,0.0,1.27
2008,1,3,14,0.0,0.0,1.09
2008,1,3,15,0.0,0.0,1.05
2008,1,3,16,0.0,1.73,1.04
2008,1,3,17,0.0,0.0,1.04
2008,1,3,18,0.0,1.46,1.16
2008,1,3,19,0.0,1.27,1.27
2008,1,3,20,0.0,1.09,1.37
2008,1,3,21,0.0,1.05,1.48
2008,1,3,22,0.0,1.04,1.51
2008,1,3,23,0.0,1.04,1.49
2008,1,3,0,0.0,1.16,1.38
2008,1,3,1,0.0,1.27,1.21
2008,1,3,2,0.0,1.37,1.1
2008,1,3,3,0.0,1.48,0.0
2008,1,3,4,0.0,1.51,1.05
2008,1,3,5,0.0,1.49,0.0
2008,1,3,6,0.0,1.38,0.0
2008,1,3,7,0.0,1.21,1.32
2008,1,3,8,0.0,1.1,1.71
2008,1,4,9,0.0,0.0,0.0
2008,1,4,10,0.0,1.05,0.0
2008,1,4,11,0.0,0.0,1.63
2008,1,4,12,0.0,0.0,1.52
2008,1,4,13,0.0,1.32,1.39
2008,1,4,14,0.0,1.71,1.19
2008,1,4,15,0.0,0.0,1.06
2008,1,4,16,0.0,0.0,1.04
2008,1,4,17,0.0,1.63,1.04
2008,1,4,18,0.0,1.52,1.04
2008,1,4,19,0.0,1.39,1.04
2008,1,4,20,0.0,1.19,1.13
2008,1,4,21,0.0,1.06,1.37
2008,1,4,22,0.0,1.04,1.49
2008,1,4,23,0.0,1.04,1.49
